"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 1 Cov: none",1,0,0.132265796772178,0.252321874365117,0.373330381840195,0.113803700192144,0.128278246830365,0.75791805297749,0.871721753169635
"Run: 1 Cov: low",1,0.1,0.146181837728766,0.262674847237464,0.378236055462873,0.0996484905989461,0.113258768971952,0.787092740429102,0.886741231028048
"Run: 1 Cov: medium",1,0.5,0.221487863385779,0.288706043430523,0.34646057277282,0.0703872285461657,0.0729582918647121,0.856654479589122,0.927041708135288
"Run: 1 Cov: high",1,0.9,0.282785133653784,0.297333565773282,0.305732048662613,0.0595812294474571,0.0545680224628642,0.885850748089679,0.945431977537136
"Run: 2 Cov: none",2,0,0.132048134653874,0.24211489590378,0.374689720007558,0.127244449193897,0.12390280024089,0.748852750565213,0.87609719975911
"Run: 2 Cov: low",2,0.1,0.142427550767409,0.261164251449325,0.374791856320652,0.108115840753254,0.11350050070936,0.778383658537385,0.88649949929064
"Run: 2 Cov: medium",2,0.5,0.223174093955995,0.286341298037154,0.3392120831997,0.0786002972343523,0.0726722275727988,0.848727475192849,0.927327772427201
"Run: 2 Cov: high",2,0.9,0.285239059107592,0.297297086940962,0.307409962772259,0.0542125407544101,0.0558413504247772,0.889946108820813,0.944158649575223
"Run: 3 Cov: none",3,0,0.122543835257136,0.255494028587529,0.385256472476155,0.111032209104842,0.125673454574338,0.76329433632082,0.874326545425662
"Run: 3 Cov: low",3,0.1,0.145651847648785,0.263256107858335,0.37591630930174,0.105576620989391,0.109599114201748,0.784824264808861,0.890400885798252
"Run: 3 Cov: medium",3,0.5,0.223020906898136,0.296059285719244,0.346532802286318,0.0598692653087715,0.0745177397875312,0.865612994903697,0.925482260212469
"Run: 3 Cov: high",3,0.9,0.285338874456966,0.296863515821078,0.308427396670371,0.0553460716722166,0.0540241413793685,0.890629786948415,0.945975858620631
"Run: 4 Cov: none",4,0,0.125226505890144,0.249697264147746,0.384500923964584,0.116615749482436,0.123959556515089,0.759424694002474,0.876040443484911
"Run: 4 Cov: low",4,0.1,0.153750771442255,0.255054947737331,0.37796014945156,0.105783670722317,0.107450460646538,0.786765868631145,0.892549539353462
"Run: 4 Cov: medium",4,0.5,0.222465739881008,0.285820732380712,0.346488313779411,0.0731309196018981,0.0720942943569706,0.854774786041131,0.927905705643029
"Run: 4 Cov: high",4,0.9,0.287443604228377,0.298019604599994,0.308542158446691,0.050560202802403,0.0554344299225347,0.894005367275062,0.944565570077465
"Run: 5 Cov: none",5,0,0.129513136385321,0.242110219863899,0.379151519944464,0.12360456120509,0.125620562601227,0.750774876193683,0.874379437398773
"Run: 5 Cov: low",5,0.1,0.150910184389576,0.265645796503302,0.372267053519475,0.09973753543332,0.111439430154327,0.788823034412353,0.888560569845673
"Run: 5 Cov: medium",5,0.5,0.223746893366206,0.29244264280163,0.350929399535676,0.0597771661813872,0.0731038981151008,0.867118935703512,0.926896101884899
"Run: 5 Cov: high",5,0.9,0.283264916525762,0.297749800386451,0.307915467690693,0.0558902464980897,0.0551795688990051,0.888930184602905,0.944820431100995
