"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 1 Cov: none",1,0,0.125975888410528,0.255040567399155,0.377873961224594,0.114893507814893,0.12621607515083,0.758890417034277,0.87378392484917
"Run: 1 Cov: low",1,0.1,0.153601887621497,0.259149278965007,0.369048206404973,0.107682563216514,0.11051806379201,0.781799372991477,0.88948193620799
"Run: 1 Cov: medium",1,0.5,0.223381204736326,0.28344773762258,0.337624376932432,0.0835329626029462,0.0720137181057156,0.844453319291338,0.927986281894284
"Run: 1 Cov: high",1,0.9,0.284162014257375,0.294121350982902,0.307234692028062,0.0588570264502804,0.0556249162813804,0.885518057268339,0.94437508371862
"Run: 2 Cov: none",2,0,0.129931009790883,0.25274945346134,0.373953091393523,0.119612177261356,0.123754268092898,0.756633554645746,0.876245731907102
"Run: 2 Cov: low",2,0.1,0.14952995830224,0.264140021719119,0.368106561261079,0.106458256831404,0.111765201886158,0.781776541282438,0.888234798113842
"Run: 2 Cov: medium",2,0.5,0.218084818635569,0.288913868292889,0.349210291726245,0.0694958040807996,0.0742952172644976,0.856208978654703,0.925704782735502
"Run: 2 Cov: high",2,0.9,0.283628057333938,0.299948328147419,0.306075792986304,0.0554108201475521,0.0549370013847861,0.889652178467662,0.945062998615214
"Run: 3 Cov: none",3,0,0.132360990347725,0.246787862676928,0.381827872207973,0.109414111856873,0.129609162910501,0.760976725232626,0.870390837089499
"Run: 3 Cov: low",3,0.1,0.143050213894205,0.266371916426876,0.374581966062109,0.107875070880279,0.10812083273653,0.78400409638319,0.89187916726347
"Run: 3 Cov: medium",3,0.5,0.217616571363971,0.281368146448132,0.347669049879117,0.0782951967973714,0.0750510355114088,0.84665376769122,0.924948964488591
"Run: 3 Cov: high",3,0.9,0.284929070605157,0.297695394167409,0.307945294435045,0.0536146974422464,0.0558155433501424,0.890569759207611,0.944184456649858
"Run: 4 Cov: none",4,0,0.126809931136552,0.250482007334389,0.374560971467852,0.124843741218274,0.123303348842931,0.751852909938794,0.876696651157069
"Run: 4 Cov: low",4,0.1,0.144603203868816,0.26808925047147,0.37869274211522,0.0935546090906964,0.115060194453798,0.791385196455506,0.884939805546202
"Run: 4 Cov: medium",4,0.5,0.22346435781326,0.285176579700041,0.344497123773455,0.0736746152159046,0.0731873234973381,0.853138061286757,0.926812676502662
"Run: 4 Cov: high",4,0.9,0.286515971432151,0.300789065634207,0.311053216500381,0.0466300702523632,0.0550116761808976,0.898358253566739,0.944988323819102
