"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_epsilon","Variance_gamma","Variance_total_marginal","Variance_total_conditional"
"Run: 1 Cov: none",1,0,0.128231284946972,0.257976273082018,0.37937165574025,0.128537682486745,0.124109848293265,0.76557921376924,0.889689062062505
"Run: 1 Cov: low",1,0.1,0.153150452242942,0.257066832989605,0.366291687425129,0.109401998164438,0.103920694628901,0.776508972657676,0.880429667286576
"Run: 1 Cov: medium",1,0.5,0.222312613217552,0.283944297487879,0.339818660919306,0.0724089098333792,0.0870384566590756,0.846075571624737,0.933114028283812
"Run: 1 Cov: high",1,0.9,0.283732719923258,0.293843354394206,0.306547113961214,0.0554015166478494,0.0568919408185156,0.884123188278678,0.941015129097194
"Run: 2 Cov: none",2,0,0.130383755743025,0.252591653617074,0.372452600756542,0.123745321000619,0.120591484732698,0.755428010116641,0.87601949484934
"Run: 2 Cov: low",2,0.1,0.148611523229568,0.264363606293742,0.368617112483715,0.11169841119281,0.106021938212643,0.781592242007025,0.887614180219668
"Run: 2 Cov: medium",2,0.5,0.220645106153189,0.289607333658745,0.347246346225339,0.0742281011288343,0.0674454829339902,0.857498786037273,0.924944268971264
"Run: 2 Cov: high",2,0.9,0.284535904402789,0.298975688102988,0.306689014313144,0.0548506048959761,0.0538264076312888,0.890200606818921,0.94402701445021
"Run: 3 Cov: none",3,0,0.133497162429151,0.246190221329369,0.382737580672367,0.129887924456378,0.109750050305718,0.762424964430887,0.872175014736605
"Run: 3 Cov: low",3,0.1,0.143413599217677,0.26404665532154,0.372801956887825,0.107294605659023,0.104706464923053,0.780262211427041,0.884968676350095
"Run: 3 Cov: medium",3,0.5,0.217906782308051,0.280949485885419,0.346101322562936,0.0747649016133433,0.0765788029260901,0.844957590756406,0.921536393682496
"Run: 3 Cov: high",3,0.9,0.285659860794428,0.297003208654451,0.308710322365899,0.0559769888076233,0.0559796248572752,0.891373391814779,0.947353016672054
"Run: 4 Cov: none",4,0,0.127603375097567,0.250278418678698,0.377419197273816,0.124501334693845,0.129720981041312,0.755300991050081,0.885021972091393
"Run: 4 Cov: low",4,0.1,0.146074692440569,0.26837921785089,0.380484432215957,0.116124914431501,0.0981422814736957,0.794938342507415,0.893080623981111
"Run: 4 Cov: medium",4,0.5,0.221977321240778,0.289550599108807,0.344482230149331,0.073633546654966,0.0764737143395674,0.856010150498916,0.932483864838484
"Run: 4 Cov: high",4,0.9,0.286986826631697,0.300159285177548,0.311444156126,0.0551415853668303,0.0487854858270811,0.898590267935245,0.947375753762327
"Run: 5 Cov: none",5,0,0.128114985211583,0.247495943243152,0.377851350831552,0.122553472644102,0.119882131668729,0.753462279286286,0.873344410955015
"Run: 5 Cov: low",5,0.1,0.143421991770393,0.263767078568427,0.385039509128179,0.111364990779673,0.0834366526945369,0.792228579467,0.875665232161537
"Run: 5 Cov: medium",5,0.5,0.221288600300913,0.295268591522009,0.347049559168404,0.0725306553788444,0.0704779599881913,0.863606750991326,0.934084710979517
"Run: 5 Cov: high",5,0.9,0.283165237670332,0.296490753135535,0.307317524017009,0.0556372635277083,0.0554490222876418,0.886973514822875,0.942422537110517
"Run: 6 Cov: none",6,0,0.123943917620077,0.259989066905095,0.381645753623623,0.128326761663234,0.11431231971626,0.765578738148795,0.879891057865055
"Run: 6 Cov: low",6,0.1,0.144625308173192,0.270983025970964,0.375499677754266,0.11110264299236,0.0985647341432352,0.791108011898421,0.889672746041656
"Run: 6 Cov: medium",6,0.5,0.219991529918017,0.288544238774728,0.347719744820279,0.0757590811802663,0.0751602032522588,0.856255513513023,0.931415716765282
"Run: 6 Cov: high",6,0.9,0.288522739216671,0.298982409213473,0.311379467655211,0.0557871110211268,0.0594650143495446,0.898884616085355,0.958349630434899
"Run: 7 Cov: none",7,0,0.124597245303331,0.240370607037315,0.363523378193398,0.121229590688075,0.152861655597759,0.728491230534043,0.881352886131802
"Run: 7 Cov: low",7,0.1,0.152501232222187,0.261925862610768,0.376489101929057,0.107254877192183,0.102334353279904,0.790916196762012,0.893250550041916
"Run: 7 Cov: medium",7,0.5,0.219368755783575,0.293160137633946,0.343587392930729,0.0730487397997518,0.0726361948413914,0.856116286348249,0.92875248118964
"Run: 7 Cov: high",7,0.9,0.28296681546007,0.296986086759197,0.304978775594849,0.0553860286015062,0.0533959781894939,0.884931677814117,0.93832765600361
"Run: 8 Cov: none",8,0,0.131273694024412,0.241940631599407,0.374136764626985,0.124337592361831,0.130080391729737,0.747351090250803,0.877431481980541
