"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 1 Cov: none",1,0,0.125752984371694,0.258559857046517,0.376439444253179,0.124442210763875,0.128561863801243,0.760752285671389,0.885194496435264
"Run: 1 Cov: low",1,0.1,0.110295575474762,0.213345713502757,0.31992677128279,0.10410890360089,0.109416569050117,0.643568060260308,0.747676963861199
"Run: 1 Cov: medium",1,0.5,0.0746015503571531,0.144707813235182,0.215893345484425,0.0871837103539072,0.0724229502368418,0.435202709076761,0.522386419430668
"Run: 1 Cov: high",1,0.9,0.0581688040236874,0.101353920172077,0.170353157793143,0.0566821155323666,0.0554146926195012,0.329875881988907,0.386557997521274
"Run: 2 Cov: none",2,0,0.129232568404216,0.255413325635111,0.371039978179752,0.120919170114409,0.1237685907964,0.755685872219079,0.876605042333488
"Run: 2 Cov: low",2,0.1,0.1083295878843,0.221001407663741,0.325221560884712,0.106230746500595,0.111713372270909,0.654552556432752,0.760783302933347
"Run: 2 Cov: medium",2,0.5,0.0721422678982439,0.149017928154902,0.223166993043274,0.0675484355261469,0.0742424318551667,0.44432718909642,0.511875624622567
"Run: 2 Cov: high",2,0.9,0.0534056085359574,0.118107003793839,0.160541542344179,0.0535914874171354,0.0548631435337281,0.332054154673976,0.385645642091111
"Run: 3 Cov: none",3,0,0.129992792069531,0.249320280990527,0.381104510714631,0.110010255443708,0.129913628412336,0.76041758377469,0.870427839218398
"Run: 3 Cov: low",3,0.1,0.106829222740683,0.221548493776375,0.32784017278522,0.104970216585339,0.107314933495936,0.656217889302279,0.761188105887618
"Run: 3 Cov: medium",3,0.5,0.0744548324354117,0.143057742146241,0.224591134992469,0.0767195264312739,0.0747855142050022,0.442103709574122,0.518823236005395
"Run: 3 Cov: high",3,0.9,0.0569748378907647,0.10637057422411,0.169396448466136,0.0557577486912004,0.055989707012995,0.332741860581011,0.388499609272211
"Run: 4 Cov: none",4,0,0.131691993146561,0.251892078033567,0.377530688940022,0.13007937501227,0.124524824373849,0.761114760120149,0.89119413513242
"Run: 4 Cov: low",4,0.1,0.107830849251605,0.229701149523535,0.341002851540987,0.098307943006092,0.116140340911432,0.678534850316127,0.776842793322219
"Run: 4 Cov: medium",4,0.5,0.0738576773822048,0.14947561339697,0.21933308223369,0.0766288797783333,0.0736474753967888,0.442666373012865,0.519295252791198
"Run: 4 Cov: high",4,0.9,0.0540532598518699,0.110374209477287,0.172511337259545,0.0487036648563393,0.0551458923399561,0.336938806588702,0.385642471445041
"Run: 5 Cov: none",5,0,0.123669070346909,0.246799108521441,0.372012910290065,0.120215649219759,0.12257641689873,0.742481089158415,0.862696738378175
"Run: 5 Cov: low",5,0.1,0.109109738911078,0.221266970850193,0.339056903785379,0.0837401089059421,0.11139050511387,0.66943361354665,0.753173722452592
"Run: 5 Cov: medium",5,0.5,0.0730403330012013,0.152792043350459,0.219682496807793,0.0705822121632942,0.0725412570008278,0.445514873159453,0.516097085322747
"Run: 5 Cov: high",5,0.9,0.0538630225870036,0.109088745487783,0.169274561774053,0.0552246140914341,0.0556499865611321,0.33222632984884,0.387450943940274
"Run: 6 Cov: none",6,0,0.124514923049648,0.264988816157855,0.39103130164835,0.114613699022011,0.128350751239649,0.780535040855854,0.895148739877865
"Run: 6 Cov: low",6,0.1,0.107846051671073,0.226116177951638,0.331870635041845,0.0987340540250079,0.111117477458117,0.665832864664555,0.764566918689563
"Run: 6 Cov: medium",6,0.5,0.0731138842545661,0.147611518819518,0.224127852976962,0.075295901357939,0.0757788204869176,0.444853256051047,0.520149157408986
"Run: 6 Cov: high",6,0.9,0.0594226462060523,0.105296645594417,0.170544827038698,0.0592766130892988,0.0558006801948853,0.335264118839168,0.394540731928467
"Run: 7 Cov: none",7,0,0.120975565694555,0.236114507601409,0.356197103566943,0.153283639722793,0.121251843719858,0.713287176862906,0.866570816585699
"Run: 7 Cov: low",7,0.1,0.109763253750366,0.22077077384228,0.330958285275141,0.102582170090786,0.107276281261145,0.661492312867787,0.764074482958573
"Run: 7 Cov: medium",7,0.5,0.0722995067204114,0.152157002611752,0.217622932471998,0.0727534621406689,0.0730615727167348,0.442079441804162,0.51483290394483
"Run: 7 Cov: high",7,0.9,0.0552563976217593,0.116283325041754,0.158176781028728,0.0531544000270653,0.0553983211085726,0.329716503692241,0.382870903719307
"Run: 8 Cov: none",8,0,0.12674115477249,0.243092785584211,0.371130998242256,0.130439923417887,0.124361063587708,0.740964938598957,0.871404862016844
"Run: 8 Cov: low",8,0.1,0.107068771305337,0.218731378102527,0.335808016314329,0.112309245466521,0.106600613579658,0.661608165722193,0.773917411188715
"Run: 8 Cov: medium",8,0.5,0.0727857279360601,0.141926125873208,0.226030219862143,0.0733879603544371,0.0750766101454519,0.440742073671411,0.514130034025848
"Run: 8 Cov: high",8,0.9,0.0529039539016481,0.119548975938871,0.165377548317294,0.0476302856329642,0.054499814105885,0.337830478157813,0.385460763790777
"Run: 9 Cov: none",9,0,0.120805021000271,0.24888151115397,0.366460972234514,0.126141761495054,0.125181416670248,0.736147504388755,0.862289265883809
"Run: 9 Cov: low",9,0.1,0.111137432522154,0.215914374237269,0.334577712074958,0.123738356445238,0.110027057300869,0.661629518834381,0.785367875279619
"Run: 9 Cov: medium",9,0.5,0.073586910801138,0.152311341376862,0.221225722265907,0.0657760152105448,0.0755905635240737,0.447123974443906,0.512899989654451
"Run: 9 Cov: high",9,0.9,0.0588685337845609,0.104980555590249,0.167588567662202,0.0546719223002883,0.0559055331445263,0.331437657037012,0.3861095793373
"Run: 10 Cov: none",10,0,0.12699558557807,0.254625988052643,0.375597919011455,0.120475488646613,0.128401499596473,0.757219492642168,0.877694981288782
"Run: 10 Cov: low",10,0.1,0.10677812598837,0.217795042774436,0.327746744678067,0.112826610209184,0.108248867274894,0.652319913440872,0.765146523650056
"Run: 10 Cov: medium",10,0.5,0.0749945771703305,0.151768981270939,0.217392209671818,0.0776419722670238,0.0745632353338521,0.444155768113087,0.521797740380111
"Run: 10 Cov: high",10,0.9,0.0522768500905881,0.115689371583717,0.163099974839989,0.0595875957373523,0.0554900879709569,0.331066196514294,0.390653792251647
"Run: 11 Cov: none",11,0,0.122968499807417,0.246563529177527,0.367501502741475,0.143715646106975,0.123492162783681,0.737033531726419,0.880749177833394
"Run: 11 Cov: low",11,0.1,0.109163356127968,0.224192513300537,0.324564154578884,0.103689132288765,0.10870763423425,0.657920024007388,0.761609156296153
"Run: 11 Cov: medium",11,0.5,0.0728610692843064,0.14019724680144,0.223841313862062,0.0813388636087798,0.0710790439723124,0.436899629947808,0.518238493556588
"Run: 11 Cov: high",11,0.9,0.057087904910197,0.115858090083131,0.156137153117188,0.0500370191815275,0.0554182211122263,0.329083148110516,0.379120167292044
"Run: 12 Cov: none",12,0,0.125909679576081,0.244810409871852,0.367282680094232,0.119214027958934,0.124354870640444,0.738002769542166,0.8572167975011
"Run: 12 Cov: low",12,0.1,0.106958878332207,0.221593800049197,0.327183105230372,0.10480958769916,0.10837773540252,0.655735783611776,0.760545371310936
"Run: 12 Cov: medium",12,0.5,0.0747519284774853,0.149589140805331,0.21612887013004,0.0649041102584636,0.0729517263458241,0.440469939412856,0.50537404967132
"Run: 12 Cov: high",12,0.9,0.0556086817917064,0.109322003565587,0.171888692355986,0.0437498006256051,0.056236983837122,0.336819377713279,0.380569178338884
"Run: 13 Cov: none",13,0,0.11976551906887,0.249422691311681,0.366689369153499,0.140726085216201,0.119287496868463,0.735877579534049,0.87660366475025
"Run: 13 Cov: low",13,0.1,0.111212155651146,0.218864659946467,0.345859018959136,0.0968239596036687,0.11130528184508,0.675935834556749,0.772759794160417
"Run: 13 Cov: medium",13,0.5,0.0746876350137916,0.147603400570687,0.221011508960715,0.0608870694082012,0.07347981131191,0.443302544545194,0.504189613953395
"Run: 13 Cov: high",13,0.9,0.0521172810068453,0.111087030236697,0.171519600013478,0.0545734886882703,0.0547224451069309,0.334723911257021,0.389297399945291
"Run: 14 Cov: none",14,0,0.130052300193372,0.257699855210507,0.379749206926596,0.105696672296594,0.129882611027705,0.767501362330475,0.87319803462707
"Run: 14 Cov: low",14,0.1,0.109152284436433,0.218692451477742,0.330583453977903,0.10171112930852,0.110087729101023,0.658428189892079,0.760139319200598
"Run: 14 Cov: medium",14,0.5,0.0751172769040978,0.147558383655021,0.220950872817401,0.0728208140500292,0.0746688857646811,0.443626533376521,0.51644734742655
"Run: 14 Cov: high",14,0.9,0.0547842369477451,0.109235329891582,0.170726854197814,0.0509912227871976,0.0552717752635537,0.334746421037141,0.385737643824339
"Run: 15 Cov: none",15,0,0.12819877054844,0.250296389902315,0.376157209546958,0.125750173767623,0.126938775254681,0.754652369997712,0.880402543765336
"Run: 15 Cov: low",15,0.1,0.105575026624747,0.218222025969173,0.328416367446903,0.10984437865291,0.110049937643788,0.652213420040823,0.762057798693733
"Run: 15 Cov: medium",15,0.5,0.0763630352622778,0.148393752026406,0.21942278206754,0.07221496587623,0.0717298874508907,0.444179569356224,0.516394535232454
"Run: 15 Cov: high",15,0.9,0.0573235696157328,0.107469287435358,0.159869944235108,0.0664748692672816,0.0538069944497634,0.324662801286199,0.391137670553481
"Run: 16 Cov: none",16,0,0.128039207908962,0.25022712750369,0.388310650004905,0.10982150616207,0.12948176663249,0.766576985417557,0.876398491579627
"Run: 16 Cov: low",16,0.1,0.114530051936987,0.217704148466645,0.320299332328413,0.100275609232514,0.108291012014026,0.652533532732046,0.75280914196456
"Run: 16 Cov: medium",16,0.5,0.0711409695222377,0.14664524110808,0.21811060961203,0.0797418807575,0.0714977498066757,0.435896820242347,0.515638700999847
"Run: 16 Cov: high",16,0.9,0.0605615165397916,0.105322350475348,0.168933779208705,0.0468833150974337,0.0551961534401117,0.334817646223844,0.381700961321278
"Run: 17 Cov: none",17,0,0.122969579636489,0.24232166874833,0.388760764721371,0.137624807524151,0.124530594846106,0.754052013106189,0.89167682063034
"Run: 17 Cov: low",17,0.1,0.112818954077289,0.214694882193562,0.326274966050494,0.109573946629774,0.110545455568348,0.653788802321345,0.763362748951119
"Run: 17 Cov: medium",17,0.5,0.0744902847158293,0.146238936350089,0.230919647336303,0.0715051985151208,0.0746371176110942,0.451648868402222,0.523154066917342
"Run: 17 Cov: high",17,0.9,0.0536106258864725,0.115113422614399,0.162566868283134,0.0587221131875802,0.05571593114725,0.331290916784006,0.390013029971586
"Run: 18 Cov: none",18,0,0.121162377508234,0.256863256977109,0.380732978019801,0.11842456070158,0.122576814763972,0.758758612505144,0.877183173206724
"Run: 18 Cov: low",18,0.1,0.111377988523313,0.22225630866496,0.326698936256837,0.112482918726506,0.110014698894062,0.66033323344511,0.772816152171616
